project_id,target_label,top_k_project_ids,top_k_similarity_scores,top_k_labels,neighbor_low_ratio,neighbor_mid_ratio,neighbor_high_ratio,mean_similarity,max_similarity,retrieval_text_policy
146312,Mid,94716|102075|10834|12888|94132,0.176073|0.175943|0.173930|0.172912|0.168689,Low|Low|Low|Mid|Mid,0.6,0.4,0.0,0.17350925580836157,0.1760731354799321,Description-centered TF-IDF; title/benefits are auxiliary context.
93102,Mid,93146|9410|16143|17547|91794,0.201704|0.136451|0.135252|0.126541|0.126047,High|High|Mid|Mid|Mid,0.0,0.6,0.4,0.14519906167776903,0.20170427523194928,Description-centered TF-IDF; title/benefits are auxiliary context.
125559,Mid,102077|102724|90243|102671|116089,0.440165|0.404479|0.263752|0.238016|0.195106,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.30830371805468443,0.4401650949105742,Description-centered TF-IDF; title/benefits are auxiliary context.
14683,Mid,146075|146071|13751|88508|14686,0.256530|0.164697|0.160186|0.157956|0.139305,Low|Low|Low|Low|Mid,0.8,0.2,0.0,0.17573480405456365,0.2565298250047506,Description-centered TF-IDF; title/benefits are auxiliary context.
23273,Mid,23204|24809|12418|34481|23225,0.255238|0.186531|0.183608|0.170037|0.167409,Mid|High|Low|Mid|Mid,0.2,0.6,0.2,0.19256463726844947,0.2552376176767212,Description-centered TF-IDF; title/benefits are auxiliary context.
89612,Mid,113277|125669|158580|103054|154382,0.355390|0.185376|0.184831|0.178375|0.175877,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.21596975522832085,0.3553896798438941,Description-centered TF-IDF; title/benefits are auxiliary context.
18312,Mid,18358|112937|7864|16727|125386,0.202441|0.132453|0.130155|0.127491|0.125303,Low|Low|High|High|High,0.4,0.0,0.6,0.14356858899489439,0.20244121237987645,Description-centered TF-IDF; title/benefits are auxiliary context.
93657,Low,101906|106816|125662|155356|9310,0.777175|0.239187|0.229522|0.223422|0.204318,Mid|High|Mid|Mid|Mid,0.0,0.8,0.2,0.3347251121160758,0.7771752639244389,Description-centered TF-IDF; title/benefits are auxiliary context.
8527,Low,8805|157915|94591|93952|125645,0.938839|0.184018|0.153388|0.152437|0.133672,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.31247099860446237,0.9388392543697615,Description-centered TF-IDF; title/benefits are auxiliary context.
125564,High,158182|154422|94534|112864|101894,0.352729|0.330416|0.316502|0.250917|0.242275,High|Mid|Mid|Mid|Mid,0.0,0.8,0.2,0.2985677152792062,0.3527288236393438,Description-centered TF-IDF; title/benefits are auxiliary context.
