feature,importance
feature_32377,0.37993768247652565
feature_32194,0.3795467930993712
feature_5409,0.37585760645386096
feature_32402,0.3750988917901406
feature_32047,0.3729974836472422
feature_17958,0.37255200789927206
feature_3386,0.37154199915249825
feature_32024,0.37096687162241676
feature_4968,0.36746405239268704
feature_32015,0.36522800962769214
feature_32198,0.36463068854704056
feature_32173,0.35633630240421027
feature_32262,0.3557947111760811
feature_11344,0.35512436676655007
feature_32304,0.35423789188682847
feature_15654,0.35374886662754235
feature_14832,0.3536871952586203
feature_4656,0.353293962270772
feature_32190,0.35307512322489903
feature_32387,0.3522795666380896
feature_14314,0.35193913961569373
feature_32243,0.35180116297338354
feature_8596,0.350517074347384
feature_18833,0.3503634881979926
feature_32344,0.34884711367191407
feature_32192,0.3483631776628586
feature_32181,0.34834825117881646
feature_32300,0.3474997598269077
feature_32359,0.346922042214537
feature_32178,0.3463083119328192
feature_3438,0.3442732726634686
feature_32208,0.34400780285184407
feature_15208,0.3437805314039975
feature_32292,0.3434842126507455
feature_32011,0.342753804115499
feature_32234,0.3422000751931578
feature_18735,0.3412040626775061
feature_11062,0.3405316457268015
feature_1657,0.3397355572368029
feature_32033,0.33960040326594515
feature_661,0.3393732597665026
feature_32420,0.3381416757486237
feature_32423,0.33759173107156454
feature_17456,0.33755987506782237
feature_32316,0.33752893162518965
feature_19223,0.33739698029325077
feature_32139,0.33725055904300166
feature_32327,0.33667304724801433
feature_32053,0.33387932276397825
feature_32365,0.33366938723586187
feature_10407,0.3325093684916312
feature_17368,0.33218693366067753
feature_32014,0.33094005338123506
feature_5706,0.3290804358927358
feature_32094,0.329017210343294
feature_32314,0.32888471009156006
feature_32432,0.3284456183614933
feature_32426,0.32802538519285956
feature_13392,0.32778980277107267
feature_17911,0.3273989462630648
feature_32265,0.3269924289055301
feature_22322,0.3268984645896353
feature_32005,0.32682475731801974
